"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Comp","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV625",46.7730439470679,28.2002129300871,3.26012837516312,8.650031435856,5.14852464941225e-18,4.94258366343576e-16,"GFE","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Dermabacteraceae","Brachybacterium","Unclassified"
"ASV37",3414.43844955329,30,3.90875398894371,7.67508011117043,1.65315302388874e-14,7.93513451466593e-13,"GFE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","Unclassified"
"ASV142",1475.02711805909,30,4.07520852884084,7.36158647776811,1.81737219226347e-13,5.8155910152431e-12,"GFE","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pasteurellaceae","Unclassified","Unclassified"
"ASV532",63.7819883015015,28.5121348980295,4.39473545489091,6.48779322229698,8.71027088012617e-11,2.09046501123028e-09,"GFE","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria","Unclassified"
"ASV89",538.255979850877,30,4.71187811281547,6.36688795459402,1.92901982296655e-10,3.70371806009578e-09,"GFE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","Unclassified"
"ASV131",350.869307904998,13.4748677656395,3.55431978781716,3.79112420098667,0.000149966931649481,0.0023994709063917,"GFE","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pasteurellaceae","Bibersteinia","trehalosi"
"ASV134",165.030549004157,11.9837498250648,3.25431147001254,3.68242251409899,0.000231028099663392,0.00316838536681224,"GFE","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pasteurellaceae","Unclassified","Unclassified"
"ASV1099",42.5439837161025,10.8988533313729,3.11051121688679,3.50387848537681,0.000458534539637751,0.00550241447565301,"GFE","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","Unclassified"
"ASV53",229.01689834606,8.98820594545247,2.71411478950606,3.31165283804677,0.00092746562143796,0.00989296662867157,"GFE","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Bergeyella","Unclassified"
"ASV774",70.8475691485054,10.3448998329493,3.19169167924642,3.24119647903828,0.00119029113636475,0.0114267949091016,"GFE","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Unclassified","Unclassified"
"ASV938",107.544684063124,11.5581652207585,3.63811433347565,3.17696591182073,0.00148824527550499,0.0129883224044072,"GFE","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pasteurellaceae","Unclassified","Unclassified"
"ASV27",372.090033280308,7.87626552446112,2.52174732023328,3.12333652989964,0.00178813164500128,0.0143050531600102,"GFE","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified"
"ASV22",739.293404303571,7.87530620785947,2.59191539550564,3.03841175584481,0.00237828747595198,0.0152210398460926,"GFE","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pasteurellaceae","Bibersteinia","trehalosi"
"ASV75",411.243337721619,9.14727694839207,2.99420609809553,3.05499242494035,0.00225066206606134,0.0152210398460926,"GFE","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Neisseria","Unclassified"
"ASV317",62.2979611235344,10.309056413375,3.35045503640408,3.07691233022465,0.00209156806379205,0.0152210398460926,"GFE","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Unclassified","Unclassified"
"ASV526",34.5367582212928,8.99877335941796,3.0623459230212,2.93852281408499,0.0032978038586513,0.0197868231519078,"GFE","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Unclassified"
"ASV113",317.600411589484,9.36511000938059,3.24197703557145,2.88870337655857,0.00386833786963066,0.0218447314990908,"GFE","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Unclassified","Unclassified"
"ASV39",1466.84812425243,7.97182015474162,2.84155801311534,2.80543987416315,0.00502479550279271,0.0267989093482278,"GFE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","Unclassified"
"ASV6",541.136572662964,6.99785317992513,2.62492881284436,2.66592112733994,0.00767777034754622,0.0387929449139177,"GFE","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified"
"ASV151",198.901706418836,24.3122416056019,3.84264377473504,6.32695691582244,2.50043132255439e-10,5.85601015742238e-07,"RFI","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","Unclassified"
"ASV891",538.255979850877,27.8194457736847,4.71188746589755,5.90409808702541,3.54581162735177e-09,4.15214541562893e-06,"RFI","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","Unclassified"
"ASV489",88.2911793626193,22.6601784988669,4.61988669314042,4.9049208355072,9.34650273798757e-07,0.000729650313745563,"RFI","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Unclassified"
