"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Comp","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1491",31.6193703251854,-24.1782403798113,3.96878263327687,-6.09210496364432,1.11435575475997e-09,5.27090272001464e-07,"GFE","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Levilactobacillus","Unclassified"
"ASV31",151.510791674661,8.01607196191046,2.03963322824673,3.9301536427709,8.4891598595276e-05,0.0169453039483178,"GFE","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Succinivibrionaceae","Succinivibrionaceae UCG-002","Unclassified"
"ASV47",308.031789121878,6.87622143461689,1.91555978732618,3.58966683269907,0.000331100870332749,0.0169453039483178,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV54",141.648103659564,6.84980227161181,1.79901778382678,3.80752337925267,0.000140365472694652,0.0169453039483178,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Unclassified","Unclassified"
"ASV62",221.030007332637,6.90515198662748,1.86521493172546,3.70206771840482,0.000213849518812763,0.0169453039483178,"GFE","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Pseudobutyrivibrio","Unclassified"
"ASV93",154.935662750717,6.55675711009277,1.79591107236685,3.65093640268699,0.000261285939317835,0.0169453039483178,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV160",84.0258938790696,9.22266734629411,2.58405387736205,3.56906929344257,0.000358251669097628,0.0169453039483178,"GFE","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Succinivibrionaceae","Ruminobacter","Unclassified"
"ASV170",90.474655476014,6.86301600710027,1.89118997544427,3.62894055923072,0.000284586752681666,0.0169453039483178,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae YAB2003 group","Unclassified"
"ASV265",41.867359076372,7.41618146400121,2.0419852910365,3.63184862131734,0.000281398182213464,0.0169453039483178,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidales RF16 group","Unclassified","Unclassified"
"ASV275",51.5676465932971,6.92116645989271,1.92552326460981,3.59443408817769,0.000325097429899544,0.0169453039483178,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
