CowTimeLoc,Sequencing.File.Name,Cow,GWAS_Timepoint,Location,Sample.Type,PARITY,DIM,parity.group,SampleType_Parity,Darkness,Milk7d_T1,Milk_Tier,STAGE,PARITY.GROUP,Parity.Stage,Sequence Counts,dateTrial_recent,milkE_1,DMI_recent,rfi_recent,GFE
8454_1_ARS,Swab1-126,8454,1,ARS,Swab,2,271,Second,Swab_Second,0.3990969,60.9,Low,Late,Second,Second.Late,18292,,,,,
8826_1_ARS,Swab1-130,8826,1,ARS,Swab,2,288,Second,Swab_Second,0.375482,94.3,Mid,Late,Second,Second.Late,16112,,,,,
8702_1_ARS,Swab1-131,8702,1,ARS,Swab,1,360,First,Swab_First,0.4563204,73.2,Mid,Late,First,First.Late,22972,,,,,
8296_1_ARS,Swab1-132,8296,1,ARS,Swab,3,97,Multi,Swab_Multi,0.5350161,113,High,Early,Third,Third.Early,28089,8/26/2019,30.5,27.5,-1.3,1.2222222
8253_1_ARS,Swab1-133,8253,1,ARS,Swab,3,19,Multi,Swab_Multi,0.4126008,124,High,Early,Third,Third.Early,295963,1/13/2020,35.2,30.6,-0.8,1.1666667
8597_1_ARS,Swab1-135,8597,1,ARS,Swab,2,128,Second,Swab_Second,0.4379361,86.4,Mid,Middle,Second,Second.Middle,21426,8/26/2019,28.7,25,-1.9,1.12
8433_1_ARS,Swab1-136,8433,1,ARS,Swab,2,293,Second,Swab_Second,0.5952431,49,Low,Late,Second,Second.Late,29561,,,,,
8553_1_ARS,Swab1-139,8553,1,ARS,Swab,2,141,Second,Swab_Second,0.4821341,120,High,Middle,Second,Second.Middle,16710,8/26/2019,28.4,30.9,-0.6,1.3
8579_1_ARS,Swab1-140,8579,1,ARS,Swab,2,100,Second,Swab_Second,0.4118706,114,High,Early,Second,Second.Early,20643,,,,,
8914_1_ARS,Swab1-141,8914,1,ARS,Swab,1,181,First,Swab_First,0.4334506,86.5,Mid,Middle,First,First.Middle,8424,,,,,
8866_1_ARS,Swab1-142,8866,1,ARS,Swab,1,226,First,Swab_First,0.4247114,79.1,Mid,Late,First,First.Late,18196,,,,,
7909_1_ARS,Swab1-143,7909,1,ARS,Swab,3,355,Multi,Swab_Multi,0.5595243,65,Low,Late,Third,Third.Late,17403,,,,,
