CowTimeLoc,Sequencing.File.Name,Bacterial.Sequencing.Run.Name,Bacterial.Sequencing.Run.Sample.Number,Cow,GWAS_Timepoint,Location,Sample.Type,Swab_Rumen,Project,Timecourse_Time,Timecourse_Location,Timepoint_Code,Tube.Color,RFID,ID,FARM,SAMPLING,dateSampling,dateTrial1,DMI_1,milkE_1,mBW_1,dBW_1,dim_1,rfi_1,dateTrial2,DMI_2,milkE_2,mBW_2,dBW_2,dim_2,rfi_2,dateTrial3,DMI_3,milkE_3,mBW_3,dBW_3,dim_3,rfi_3,PEN,PARITY,DIM,REGID,parity.group,SampleType_Parity,RFID.2,genotype,PictureNumber,Darkness,Milk7d,X305ME,BV_ME305,BV_M305,dateTrial_recent,DMI_recent,milkE_recent,mBW_recent,dBW_recent,dim_recent,rfi_recent,GFE,Predicted_DMI,DMI_Difference
8296_1_ARS,Swab1-132,Swab1,132,8296,1,ARS,Swab,Swab,GWAS,NA,,1,0,HOUSA000074262897,8296,ARS,1,2019-10-15,2018-09-17,25.1,30.5,132,1.9,93,-1.5,2019-08-26,27.5,33.5,132.5,0.2,72,-1.3,NA,NA,NA,NA,NA,NA,NA,18,3,97,840003132565383,Multi,Swab_Multi,HOUSA000074262897,4262897,58,0.535016078,113,28430,33434,29851,2019-08-26,27.5,33.5,132.5, 0.2, 72,-1.3,1.2222222,29.05676,-2.0567606
8253_1_ARS,Swab1-133,Swab1,133,8253,1,ARS,Swab,Swab,GWAS,NA,,1,0,HOUSA000074262854,8253,ARS,1,2019-10-15,2020-01-13,30.6,35.2,131.6,-1.8,112,-0.8,2021-02-15,28.1,34.9,133.8,-0.3,144,-0.7,NA,NA,NA,NA,NA,NA,NA,18,3,19,840003132565340,Multi,Swab_Multi,HOUSA000074262854,4262854,40,0.412600784,NA,NA,NA,NA,2020-01-13,30.6,35.2,131.6,-1.8,112,-0.8,1.1666667,30.32111,-0.3211056
8597_1_ARS,Swab1-135,Swab1,135,8597,1,ARS,Swab,Swab,GWAS,NA,,1,0,HOUSA000074263198,8597,ARS,1,2019-10-15,2019-08-26,25,28.7,125,-0.3,99,-1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,128,840003132565684,Second,Swab_Second,HOUSA000074263198,4263198,5,0.437936078,86.4,28200,32981,27950,2019-08-26,25.0,28.7,125.0,-0.3, 99,-1.9,1.1200000,25.89590,-0.8958981
8553_1_ARS,Swab1-139,Swab1,139,8553,1,ARS,Swab,Swab,GWAS,NA,,1,0,HOUSA000074263154,8553,ARS,1,2019-10-15,2018-07-09,23.6,28.4,122.3,-0.5,91,-0.9,2019-08-26,30.9,39,134.4,0.4,112,-0.6,NA,NA,NA,NA,NA,NA,NA,36,2,141,840003132565640,Second,Swab_Second,HOUSA000074263154,4263154,4,0.482134118,120,33820,37212,32930,2019-08-26,30.9,39.0,134.4, 0.4,112,-0.6,1.3000000,32.84980,-2.8497956
8486_1_ARS,Swab1-152,Swab1,152,8486,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074263087,8486,ARS,1,2019-10-15,2019-08-26,30.6,36.1,134.4,0.5,95,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,2,124,840003132565573,Second,Swab_Second,HOUSA000074263087,4263087,351,0.401478824,107,28100,32616,29922,2019-08-26,30.6,36.1,134.4, 0.5, 95, 0.2,1.2000000,30.95328,-0.9532781
8887_1_ARS,Swab1-165,Swab1,165,8887,1,ARS,Swab,Swab,GWAS,NA,,1,2,HO840003141990632,8887,ARS,1,2019-10-15,2019-08-26,22.9,23.7,127.8,-0.5,173,-1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,2,202,840003141990632,Second,Swab_Second,HO840003141990632,1990632,336,0.425310588,76.8,30440,30517,22945,2019-08-26,22.9,23.7,127.8,-0.5,173,-1.9,1.0454545,22.73504,-0.7350356
8560_1_ARS,Swab1-194,Swab1,194,8560,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074263161,8560,ARS,1,2019-10-15,2018-07-09,23.7,25.9,124,-1,97,-0.2,2019-08-26,29.5,34.9,137.1,-0.8,122,-1.1,NA,NA,NA,NA,NA,NA,NA,36,3,151,840003132565647,Multi,Swab_Multi,HOUSA000074263161,4263161,28,0.385177647,106,35300,36765,33422,2019-08-26,29.5,34.9,137.1,-0.8,122,-1.1,1.1724138,29.68893,-0.6889331
8196_1_ARS,Swab1-197,Swab1,197,8196,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074262797,8196,ARS,1,2019-10-15,2019-08-26,30.3,34.2,141.2,1.5,139,-0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,3,168,840003132565283,Multi,Swab_Multi,HOUSA000074262797,4262797,47,0.355364314,110,30850,31077,29881,2019-08-26,30.3,34.2,141.2, 1.5,139,-0.7,1.1333333,29.68893, 0.3110669
8584_1_ARS,Swab1-205,Swab1,205,8584,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074263185,8584,ARS,1,2019-10-15,2019-08-26,28.5,30.4,132,1.4,135,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,2,164,840003132565671,Second,Swab_Second,HOUSA000074263185,4263185,49,0.359779216,89.9,27780,31007,26730,2019-08-26,28.5,30.4,132.0, 1.4,135,-0.1,1.0714286,27.16024, 0.8397569
8540_1_ARS,Swab1-207,Swab1,207,8540,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074263141,8540,ARS,1,2019-10-15,2019-08-26,30.6,29.7,142.9,-0.5,155,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,2,184,840003132565627,Second,Swab_Second,HOUSA000074263141,4263141,13,0.389006275,108,29580,32144,27951,2019-08-26,30.6,29.7,142.9,-0.5,155, 0.9,0.9666667,26.52807, 3.4719294
